Source,Target,Type,weight,series
IRON MAN,BRUCE BANNER,Undirected,56,2
BLACK WIDOW,CAPTAIN AMERICA,Undirected,27,2
HAWKEYE,LAURA BARTON,Undirected,23,2
IRON MAN,NICK FURY,Undirected,22,2
THOR,CAPTAIN AMERICA,Undirected,21,2
WANDA MAXIMOFF,ULTRON,Undirected,20,2
CAPTAIN AMERICA,BRUCE BANNER,Undirected,19,2
JAMES RHODES,IRON MAN,Undirected,18,2
CAPTAIN AMERICA,HAWKEYE,Undirected,18,2
PIETRO MAXIMOFF,WANDA MAXIMOFF,Undirected,17,2
ULTRON,JARVIS,Undirected,17,2
CAPTAIN AMERICA,MARIA HILL,Undirected,16,2
ULTRON,CAPTAIN AMERICA,Undirected,15,2
ULTRON,PIETRO MAXIMOFF,Undirected,13,2
CAPTAIN AMERICA,WANDA MAXIMOFF,Undirected,13,2
VISION,ULTRON,Undirected,13,2
NICK FURY,BLACK WIDOW,Undirected,12,2
ULTRON,DR. HELEN CHO,Undirected,11,2
MARIA HILL,IRON MAN,Undirected,11,2
NICK FURY,CAPTAIN AMERICA,Undirected,9,2
ULTRON,THOR,Undirected,9,2
CAPTAIN AMERICA,PIETRO MAXIMOFF,Undirected,8,2
BRUCE BANNER,HAWKEYE,Undirected,8,2
VISION,CAPTAIN AMERICA,Undirected,7,2
ULTRON,ULYSSES KLAUE,Undirected,7,2
JAMES RHODES,THOR,Undirected,7,2
STRUCKER,DR. LIST,Undirected,7,2
CAPTAIN AMERICA,DR. HELEN CHO,Undirected,6,2
MARIA HILL,JAMES RHODES,Undirected,6,2
SELVIG,THOR,Undirected,6,2
FALCON,CAPTAIN AMERICA,Undirected,6,2
CAPTAIN AMERICA,STRUCKER,Undirected,6,2
ULTRON,BRUCE BANNER,Undirected,6,2
STRUCKER,FORTRESS SOLDIER,Undirected,6,2
WANDA MAXIMOFF,HAWKEYE,Undirected,6,2
HAWKEYE,THOR,Undirected,6,2
BLACK WIDOW,MADAME B,Undirected,5,2
THOR,BRUCE BANNER,Undirected,5,2
THOR,VISION,Undirected,4,2
DR. HELEN CHO,IRON MAN,Undirected,4,2
LAURA BARTON,BLACK WIDOW,Undirected,4,2
VISION,IRON MAN,Undirected,3,2
IRON MAN,PIETRO MAXIMOFF,Undirected,3,2
VISION,HAWKEYE,Undirected,3,2
VISION,WANDA MAXIMOFF,Undirected,3,2
ULYSSES KLAUE,KLAUE'S MERCENARY,Undirected,3,2
MARIA HILL,SPECIALIST CAMERON KLEIN,Undirected,3,2
BLACK WIDOW,FRIDAY,Undirected,3,2
HAWKEYE,MARIA HILL,Undirected,3,2
IRON MAN,WANDA MAXIMOFF,Undirected,3,2
NICK FURY,MARIA HILL,Undirected,3,2
THOR,STAN LEE,Undirected,3,2
HEIMDALL,THOR,Undirected,3,2
WANDA MAXIMOFF,BRUCE BANNER,Undirected,3,2
BRUCE BANNER,JARVIS,Undirected,3,2
DR. HELEN CHO,WANDA MAXIMOFF,Undirected,3,2
DR. HELEN CHO,BRUCE BANNER,Undirected,3,2
BRUCE BANNER,VISION,Undirected,3,2
LAURA BARTON,IRON MAN,Undirected,2,2
HAWKEYE,BARTON'S DAUGHTER,Undirected,2,2
PEGGY CARTER,THOR,Undirected,2,2
HAWKEYE,NICK FURY,Undirected,2,2
BRUCE BANNER,NICK FURY,Undirected,2,2
ULTRON,BLACK WIDOW,Undirected,2,2
PEGGY CARTER,HEIMDALL,Undirected,2,2
IRON MAN,FORTRESS SOLDIER,Undirected,2,2
CAPTAIN AMERICA,FRIDAY,Undirected,2,2
BLACK WIDOW,JAMES RHODES,Undirected,2,2
IRON MAN,WORLD HUB TECH,Undirected,2,2
JAMES RHODES,HAWKEYE,Undirected,2,2
HAWKEYE,PIETRO MAXIMOFF,Undirected,2,2
STRUCKER,SOLDIERS,Undirected,2,2
ULYSSES KLAUE,WANDA MAXIMOFF,Undirected,2,2
DR. HELEN CHO,HAWKEYE,Undirected,2,2
BLACK WIDOW,DR. HELEN CHO,Undirected,2,2
HEIMDALL,SELVIG,Undirected,1,2
ZRINKA,IRON MAN,Undirected,1,2
BLACK WIDOW,ZRINKA,Undirected,1,2
JAMES RHODES,CAPTAIN AMERICA,Undirected,1,2
SELVIG,ULTRON,Undirected,1,2
WANDA MAXIMOFF,FRIDAY,Undirected,1,2
SPECIALIST CAMERON KLEIN,ULTRON,Undirected,1,2
HAWKEYE,SPECIALIST CAMERON KLEIN,Undirected,1,2
SPECIALIST CAMERON KLEIN,PIETRO MAXIMOFF,Undirected,1,2
IRON MAN,HEIMDALL,Undirected,1,2
CAPTAIN AMERICA,JARVIS,Undirected,1,2
SELVIG,IRON MAN,Undirected,1,2
HAWKEYE,SELVIG,Undirected,1,2
DR. LIST,PIETRO MAXIMOFF,Undirected,1,2
PIETRO MAXIMOFF,BLACK WIDOW,Undirected,1,2
JARVIS,BLACK WIDOW,Undirected,1,2
JARVIS,JAMES RHODES,Undirected,1,2
THOR,MARIA HILL,Undirected,1,2
THOR,FALCON,Undirected,1,2
FALCON,JAMES RHODES,Undirected,1,2
PARTY GUEST,THOR,Undirected,1,2
STAN LEE,BRUCE BANNER,Undirected,1,2
BLACK WIDOW,MARIA HILL,Undirected,1,2
CAPTAIN AMERICA,IRON LEGION,Undirected,1,2
IRON LEGION,HAWKEYE,Undirected,1,2
DR. HELEN CHO,THOR,Undirected,1,2
CAPTAIN AMERICA,ULYSSES KLAUE,Undirected,1,2
JARVIS,THOR,Undirected,1,2
KLAUE'S MERCENARY,CAPTAIN AMERICA,Undirected,1,2
HAWKEYE,BALLET INSTRUCTOR,Undirected,1,2
BALLET INSTRUCTOR,BLACK WIDOW,Undirected,1,2
MADAME B,PEGGY CARTER,Undirected,1,2
MADAME B,PIETRO MAXIMOFF,Undirected,1,2
HAWKEYE,LILA BARTON,Undirected,1,2
LILA BARTON,BLACK WIDOW,Undirected,1,2
PEGGY CARTER,HAWKEYE,Undirected,1,2
CAPTAIN AMERICA,LAURA BARTON,Undirected,1,2
SELVIG,NICK FURY,Undirected,1,2
BLACK WIDOW,VISION,Undirected,1,2
